"","full_ecosystem_type_name","biogeographical_zone","outletcount","tot_ext24","tot_ext18","tot_ext11","eoo_km2","mean_cond11","mean_cond18","mean_cond24","fishsum24","fishsum18","prp18_cde","prp18_de","prp18_e","fishindex18","prp18_fp_mhvh","prp18_fp_hvh","prp18_fp_vh","pes_decline1118","fp_inc1118","prp24_cde","prp24_de","prp24_e","fishindex24","prp24_fp_mhvh","prp24_fp_hvh","prp24_fp_vh","pes_decline1824","fp_inc1824","typenow_area","prpnat1990","prpnat2014","prpnat2018","prpnat2022","ard9022","prplost9040_9022","ard9018","prplost9040_9018","A2b_18","A3_18","B3_18","D1fb_18","D3_18","A2b_24","A3_24","B3_24","D1fb_24","D3_24","RLE18","RLE24","trigger18","trigger24"
"1","1 Cool Temperate - Arid Predominantly Closed","CTemp",6,14402116.5678708,14402116.5678708,14402116.5678708,2761.22879105758,65.6208333333333,59.7862848269966,61.2447916666667,5219484.15465175,5219484.15465175,0.784213193996659,0.784213193996659,0.723411058905771,0.637589091155134,0,0,0,"decline1118","nofpinc1118",0.784213193996659,0.784213193996659,0.369969353379032,0.637589091155134,0,0,0,"nodecline1824","nofpinc1824",11622400,0.875963656387665,0.872109030837004,0.837830396475771,0.827608755506608,17562.5,0.0862530449473519,15828.5714285714,0.077737365573292,"LC","LC","LC","EN","EN","LC","LC","LC","EN","VU","EN","EN","D1fb_18, D3_18","D1fb_24"
"2","1 Cool Temperate - Estuarine Lagoon","CTemp",1,60068831.4211718,60068831.4211718,60068831.4211718,71.2887690925124,85,84.625,84.125,30034415.7105859,30034415.7105859,0,0,0,0.5,1,1,1,"nodecline1118","fpinc1118",0,0,0,0.5,1,1,1,"nodecline1824","fpinc1824",21792000,0.980873715124816,0.979754038179148,0.977019089574156,0.976560205580029,2937.5,0.00687128073655451,3000,0.00701747819903439,"LC","LC","VU","EN","LC","LC","LC","VU","EN","LC","EN","EN","D1fb_18","D1fb_24"
"3","1 Cool Temperate - Estuarine Lake","CTemp",4,70930767.1719994,70930767.1719994,70930767.1719994,10522.5680368189,53.4,52.5189122210516,49.128125,26242961.5428006,29088295.8941799,1,0.37807622138595,0.0571622411968351,0.589905804576399,0.942837758803165,0.62192377861405,0.62192377861405,"nodecline1118","fpinc1118",1,0.37807622138595,0.37807622138595,0.630020052100038,0.942837758803165,0.62192377861405,0.62192377861405,"nodecline1824","fpinc1824",39902000,0.928915843817352,0.916535512004411,0.902190366397674,0.89919302290612,37062.5,0.0499958182249849,38085.7142857143,0.0513760930427598,"LC","LC","VU","EN","VU","LC","LC","VU","EN","VU","EN","EN","D1fb_18","D1fb_24"
"4","1 Cool Temperate - Large Fluvially Dominated","CTemp",1,30190584.6029966,30190584.6029966,30190584.6029966,58.0689750369182,55.85,51.5125,49.575,15095292.3014983,15095292.3014983,1,1,0,0.5,0,0,0,"decline1118","nofpinc1118",1,1,0,0.5,0,0,0,"decline1824","nofpinc1824",24193200,0.897624125787411,0.781161648727742,0.764264338739811,0.756989567316436,106325,0.244803466504577,115228.571428571,0.265303115222991,"LC","LC","LC","EN","EN","LC","LC","VU","EN","EN","EN","EN","D1fb_18, D3_18","D1fb_24, D3_24"
"5","1 Cool Temperate - Large Temporarily Closed","CTemp",9,32839120.0959501,32839120.0959501,32839120.0959501,7152.86139345221,40.4722222222222,40.7193823647376,40.8938977581241,9080153.41252974,9684675.47344273,1,0.986542621188006,0.283330559124667,0.705087242132377,0.116278501428759,0,0,"nodecline1118","nofpinc1118",1,0.986542621188006,0.283330559124667,0.723495837099193,0.532488137929594,0.0355598472121169,0.0134573788119945,"nodecline1824","fpinc1824",29813600,0.662516435452277,0.615947084552017,0.572396490192395,0.566882228244828,89100,0.225546780072904,95957.1428571429,0.242904877625412,"LC","LC","LC","EN","EN","LC","LC","LC","EN","EN","EN","EN","D1fb_18, D3_18","D1fb_24, D3_24"
"6","1 Cool Temperate - Predominantly Open","CTemp",3,152598212.237101,152598212.237101,152598212.237101,12126.0942810419,61.1916666666667,62.6416666666667,58.1991666666667,64048560.0414403,80710092.1034211,1,0.0489984964705044,0,0.471094117550886,1,0.951001503529496,0.951001503529496,"nodecline1118","fpinc1118",1,0.817911389424588,0,0.580279748350366,1,0.951001503529496,0.951001503529496,"decline1824","fpinc1824",141046800,0.74287399643239,0.699416080336456,0.67136865210696,0.666678010419237,335850,0.160264363428135,360200,0.17188394731819,"LC","LC","VU","VU","VU","LC","LC","VU","EN","VU","VU","EN","B3_18, D1fb_18, D3_18","D1fb_24"
"7","1 Cool Temperate - Small Fluvially Dominated","CTemp",1,39565.5144470274,39565.5144470274,39565.5144470274,0.0605569649086297,82.2,83.925,81.925,31652.4115576219,31652.4115576219,0,0,0,0.2,0,0,0,"nodecline1118","nofpinc1118",0,0,0,0.2,0,0,0,"nodecline1824","nofpinc1824",40000,1,1,0.82,0.78,275,0.34375,257.142857142857,0.321428571428571,"VU","LC","LC","LC","LC","VU","LC","LC","LC","LC","VU","VU","A2b_18","A2b_24"
"8","1 Cool Temperate - Small Temporarily Closed","CTemp",8,5176403.67488375,5176403.67488375,5176403.67488375,2474.69303426854,70.98125,73.1044124623238,72.4262874623238,3298667.75699814,3298667.75699814,0.582146440674431,0.582146440674431,0.00793283414584099,0.362749127738339,0,0,0,"decline1118","nofpinc1118",0.582146440674431,0.582146440674431,0.00793283414584099,0.362749127738339,0,0,0,"nodecline1824","nofpinc1824",5086000,0.774518285489579,0.764294140778608,0.746755800235942,0.742902084152576,5025,0.0637819861900894,5042.85714285714,0.0640086457003598,"LC","LC","LC","VU","LC","LC","LC","LC","VU","LC","VU","VU","D1fb_18","D1fb_24"
"9","2 Warm Temperate - Estuarine Bay","WTemp",1,30105647.1283708,30105647.1283708,30105647.1283708,51.2874577560309,78,78,78.025,18063388.2770225,18063388.2770225,0,0,0,0.4,1,1,0,"nodecline1118","fpinc1118",0,0,0,0.4,1,1,0,"nodecline1824","fpinc1824",20660800,0.64915201734686,0.610257105242779,0.582339502826609,0.580868117401069,44087.5,0.164358410378765,49300,0.183790635252013,"LC","LC","VU","VU","LC","LC","LC","VU","VU","LC","VU","VU","B3_18, D1fb_18","B3_24, D1fb_24"
"10","2 Warm Temperate - Estuarine Lake","WTemp",3,143423569.509232,143423569.509232,143423569.509232,3228.05790678784,70.9416666666667,70.2162558536135,69.1162558536135,69467300.5573837,78755475.9806955,0.848822661870034,0,0,0.450888886323345,0.766518813548841,0,0,"nodecline1118","nofpinc1118",0.848822661870034,0.766518813548841,0,0.515649339957947,1,0.766518813548841,0,"decline1824","fpinc1824",127636000,0.58799398288884,0.568369425553919,0.542781033564198,0.540142279607634,190862.5,0.127158250854106,206100,0.137309924689404,"LC","LC","LC","VU","LC","LC","LC","VU","EN","VU","VU","EN","D1fb_18","D1fb_24"
